authorities_contacted authorities_contacted,collision_type collision_type,fraud_reported fraud_reported,incident_severity incident_severity,incident_type incident_type,insured_education_level insured_education_level,insured_occupation insured_occupation,insured_relationship insured_relationship,insured_sex insured_sex,police_report_available police_report_available,policy_csl policy_csl,property_damage property_damage,Risk_Level Risk_Level,Actual Actual,age age,bodily_injuries bodily_injuries,capital-gains capital-gains,capital-loss capital-loss,claim_deviation claim_deviation,claim_ratio claim_ratio,claimscount,Fraud_Probability Fraud_Probability,incident_hour_of_the_day incident_hour_of_the_day,injury_claim injury_claim,months_as_customer months_as_customer,number_of_vehicles_involved number_of_vehicles_involved,policy_age_days policy_age_days,policy_annual_premium policy_annual_premium,policy_deductable policy_deductable,Predicted Predicted,property_claim property_claim,row_count,tetx,total_claim_amount total_claim_amount,umbrella_limit umbrella_limit,vehicle_claim vehicle_claim,witnesses witnesses
Police,Rear Collision,N,Minor Damage,Multi-vehicle Collision,High School,tech-support,wife,FEMALE,NO,500/1000,unknown,Low Risk,0,61,2,0,-15700,22731.05,4.499666197,1,0.159828937,1,6740,446,3,3292,1037.32,1000,0,13480,1,0,80880,0,60660,1
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,Masters,handlers-cleaners,not-in-family,FEMALE,YES,250/500,unknown,Low Risk,0,61,1,42800,-68200,-2008.95,7.998218660,1,0.142226670,10,8980,476,1,7945,1562.8,1000,0,4490,1,0,49390,0,35920,2
Ambulance,Front Collision,N,Minor Damage,Single Vehicle Collision,MD,armed-forces,other-relative,FEMALE,unknown,100/300,NO,Low Risk,0,29,0,62400,-52300,8311.05,3.999654009,1,0.174426666,12,11560,70,1,2948,1425.79,1000,0,11560,1,0,69360,0,46240,3
unknown,unknown,N,Minor Damage,Vehicle Theft,Associate,tech-support,other-relative,FEMALE,unknown,500/1000,NO,Low Risk,0,41,0,67100,0,-35548.95,3.494860499,1,0.032635329,6,680,233,1,6352,1615.14,2000,0,680,1,0,3740,0,2380,1
unknown,unknown,N,Trivial Damage,Parked Car,PhD,other-service,husband,MALE,NO,250/500,NO,Low Risk,0,33,0,0,-48700,-34248.95,3.995656895,1,0.034873420,1,460,122,1,8655,1236.5,500,0,920,1,0,5060,0,3680,1
Police,Front Collision,Y,Total Loss,Multi-vehicle Collision,MD,machine-op-inspct,wife,FEMALE,YES,500/1000,NO,Medium Risk,1,48,0,59900,-34800,-11848.95,3.999386597,1,0.641269661,21,3260,335,3,7106,1017.97,2000,1,6520,1,0,35860,0,26080,0
Ambulance,Front Collision,Y,Major Damage,Multi-vehicle Collision,Associate,machine-op-inspct,husband,MALE,unknown,100/300,YES,High Risk,1,40,2,46100,-46900,571.050000000,9.997403272,1,0.768340935,3,7700,257,3,5491,1306,2000,1,3850,1,0,50050,0,38500,1
Fire,Rear Collision,N,Minor Damage,Multi-vehicle Collision,College,priv-house-serv,unmarried,MALE,NO,500/1000,YES,Low Risk,0,27,0,50400,-61500,5031.05,7.998510519,1,0.145049125,14,10740,85,4,6768,1174.14,2000,0,5370,1,0,59070,0,42960,0
Fire,Front Collision,N,Minor Damage,Multi-vehicle Collision,College,adm-clerical,husband,MALE,unknown,500/1000,NO,Low Risk,0,30,1,0,-31700,-15808.95,6.997785511,1,0.097557157,19,3160,133,3,3420,1231.01,1000,0,3160,1,0,28440,0,22120,2
Fire,Front Collision,Y,Major Damage,Single Vehicle Collision,College,tech-support,wife,FEMALE,YES,250/500,YES,Medium Risk,1,34,2,57100,0,-8948.95,3.499577346,1,0.683480945,7,8280,119,1,1105,1299.18,500,1,8280,1,0,45540,0,28980,1
Fire,Rear Collision,N,Minor Damage,Single Vehicle Collision,JD,sales,not-in-family,FEMALE,YES,100/300,unknown,Low Risk,0,34,0,0,-57600,-10838.95,6.998191682,1,0.085606822,0,7740,169,1,6753,1469.75,500,0,3870,1,0,38700,0,27090,0
unknown,unknown,N,Trivial Damage,Parked Car,Masters,tech-support,other-relative,MALE,YES,250/500,YES,Low Risk,0,39,2,83900,-52100,-33688.95,7.984934087,1,0.047364879,6,1060,225,1,6892,1390.72,500,0,530,1,0,5830,0,4240,1
Other,Rear Collision,Y,Total Loss,Single Vehicle Collision,Associate,prof-specialty,husband,FEMALE,unknown,500/1000,YES,Medium Risk,1,32,0,0,0,5001.05,4.499528351,1,0.693748407,0,4770,84,1,5080,1694.09,500,1,9540,1,0,57240,7000000,42930,2
Police,Rear Collision,N,Total Loss,Multi-vehicle Collision,High School,armed-forces,husband,MALE,NO,100/300,YES,Low Risk,0,39,0,0,-36800,-4328.95,3.999523866,1,0.163005208,9,4200,169,3,4840,1140.15,2000,0,8400,1,0,46200,0,33600,3
Ambulance,Side Collision,N,Total Loss,Single Vehicle Collision,Masters,farming-fishing,wife,FEMALE,NO,100/300,YES,Low Risk,0,32,0,29300,0,8231.05,7.998613758,1,0.209886081,23,5770,124,1,3113,1310.71,1000,1,5770,1,0,57700,0,46160,1
Fire,Front Collision,N,Minor Damage,Multi-vehicle Collision,College,transport-moving,not-in-family,MALE,NO,250/500,NO,Low Risk,0,48,2,46300,-41700,4191.05,4.499519282,1,0.346466105,13,4680,320,3,636,1730.49,2000,1,9360,1,0,56160,7000000,42120,0
Fire,Side Collision,N,Total Loss,Multi-vehicle Collision,MD,adm-clerical,unmarried,MALE,YES,250/500,unknown,Low Risk,0,47,0,0,-59500,-4628.95,5.998919114,1,0.126479288,0,5550,297,3,1874,1616.65,500,0,5550,1,0,44400,7000000,33300,3
Ambulance,Rear Collision,Y,Major Damage,Single Vehicle Collision,Masters,machine-op-inspct,own-child,MALE,unknown,100/300,unknown,High Risk,1,56,2,49500,-81100,29511.05,7.999051121,1,0.761023764,7,16860,421,1,9097,1935.85,500,1,8430,1,0,92730,4000000,67440,3
Fire,Side Collision,N,Minor Damage,Single Vehicle Collision,PhD,craft-repair,not-in-family,FEMALE,YES,250/500,YES,Low Risk,0,33,0,37900,0,-16438.95,3.499430060,1,0.077468827,23,3070,136,1,4650,855.14,1000,0,6140,1,0,30700,0,21490,1
Fire,Side Collision,N,Major Damage,Single Vehicle Collision,High School,armed-forces,unmarried,FEMALE,unknown,250/500,NO,Low Risk,0,24,2,46800,0,1691.05,6.998763469,1,0.365631136,7,11320,46,1,5825,1568.47,2000,1,5660,1,0,56600,4000000,39620,0
unknown,unknown,N,Trivial Damage,Parked Car,MD,armed-forces,own-child,FEMALE,unknown,500/1000,YES,Low Risk,0,24,0,0,-27700,-35288.95,3.993948563,1,0.084128019,20,660,34,1,1324,1550.53,2000,0,660,1,0,3960,0,2640,1
Police,Rear Collision,N,Minor Damage,Single Vehicle Collision,College,transport-moving,unmarried,MALE,unknown,250/500,YES,Low Risk,0,30,0,48900,0,-13568.95,3.499497199,1,0.120324638,22,3480,95,1,7265,1370.92,2000,0,6960,1,0,34800,0,24360,3
Other,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,armed-forces,not-in-family,FEMALE,YES,250/500,unknown,Low Risk,0,36,2,43200,0,25671.05,7.998993837,1,0.161951600,10,7950,140,3,8682,1363.59,500,0,7950,1,0,79500,0,63600,0
Police,Front Collision,N,Total Loss,Single Vehicle Collision,College,prof-specialty,other-relative,FEMALE,NO,250/500,unknown,Low Risk,0,34,2,0,0,6871.05,7.998571684,1,0.265229854,10,5600,200,1,4782,828.42,1000,1,5600,1,0,56000,3000000,44800,2
Ambulance,Rear Collision,Y,Minor Damage,Single Vehicle Collision,Masters,machine-op-inspct,not-in-family,FEMALE,YES,250/500,YES,Medium Risk,1,29,1,64800,-44200,19051.05,56980,1,0.668860350,17,16280,123,1,892,1209.63,500,1,0,1,0,73260,0,56980,0
unknown,unknown,N,Trivial Damage,Parked Car,MD,craft-repair,unmarried,MALE,YES,250/500,YES,Low Risk,0,46,2,35000,0,-34328.95,7.982261641,1,0.135366378,3,900,267,1,3830,1111.17,2000,0,450,1,0,4950,0,3600,3
Ambulance,Rear Collision,N,Minor Damage,Single Vehicle Collision,Masters,machine-op-inspct,own-child,MALE,NO,500/1000,NO,Low Risk,0,42,0,32500,0,-4328.95,3.499635455,1,0.130257998,10,4800,290,1,365,989.97,500,0,9600,1,0,48000,0,33600,1
Fire,Side Collision,N,Major Damage,Single Vehicle Collision,College,prof-specialty,wife,MALE,YES,250/500,YES,Low Risk,0,37,0,0,0,-1388.95,6.998659261,1,0.351184395,1,10440,45,1,1109,1114.23,1000,1,5220,1,0,52200,0,36540,1
Ambulance,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,protective-serv,unmarried,FEMALE,unknown,250/500,NO,Low Risk,0,38,2,80900,-111100,11271.05,3.999674823,1,0.183786153,1,12300,186,3,2380,1347.31,2000,0,12300,1,0,73800,0,49200,3
Fire,Side Collision,N,Total Loss,Single Vehicle Collision,JD,protective-serv,other-relative,FEMALE,NO,250/500,unknown,Low Risk,0,34,1,0,-69600,16811.05,6.999104974,1,0.214476961,7,15640,135,1,6107,1687.53,2000,1,7820,1,0,78200,0,54740,2
Ambulance,Rear Collision,Y,Major Damage,Single Vehicle Collision,Associate,other-service,husband,MALE,NO,250/500,unknown,High Risk,1,33,2,0,0,-5728.95,3.499619607,1,0.734991800,19,13800,110,1,7225,1183.48,1000,1,9200,1,0,55200,0,32200,3
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,PhD,handlers-cleaners,own-child,FEMALE,YES,500/1000,NO,Low Risk,0,43,0,0,-58300,6451.05,6.998896073,1,0.204529912,3,6340,259,3,8358,1537.13,2000,1,6340,1,0,57060,0,44380,2
unknown,unknown,N,Minor Damage,Vehicle Theft,Masters,protective-serv,husband,FEMALE,YES,250/500,NO,Low Risk,0,30,0,0,-34700,-34288.95,6.986564299,1,0.071875482,3,520,114,1,2786,1173.25,1000,0,520,1,0,4680,0,3640,3
Ambulance,Front Collision,Y,Minor Damage,Single Vehicle Collision,Masters,transport-moving,not-in-family,FEMALE,YES,250/500,NO,Medium Risk,1,56,2,0,-63700,4551.05,7.998493692,1,0.630520545,23,5310,404,1,1744,1361.16,1000,1,5310,1,0,53100,4000000,42480,0
unknown,unknown,N,Minor Damage,Vehicle Theft,MD,prof-specialty,husband,FEMALE,NO,500/1000,unknown,Low Risk,0,48,1,26900,-55300,-35368.95,7.975077882,1,0.039530424,7,640,282,1,8737,1422.56,2000,0,320,1,0,3520,7000000,2560,2
Ambulance,Front Collision,N,Total Loss,Multi-vehicle Collision,Masters,tech-support,own-child,FEMALE,YES,500/1000,NO,Low Risk,0,25,0,63100,-54100,5811.05,2.999794253,1,0.153009828,0,14580,57,3,6936,1143.06,2000,0,14580,1,0,72900,0,43740,1
Police,Rear Collision,N,Total Loss,Single Vehicle Collision,PhD,craft-repair,unmarried,FEMALE,NO,250/500,unknown,Low Risk,0,38,0,0,0,11561.05,3.499752493,1,0.268087968,10,7070,215,1,1798,1405.71,500,1,14140,1,0,70700,0,49490,1
Other,Side Collision,N,Minor Damage,Multi-vehicle Collision,College,adm-clerical,wife,FEMALE,unknown,100/300,unknown,Low Risk,0,30,0,100500,0,5831.05,3.999634403,1,0.158023114,4,5470,140,4,240,1354.2,500,0,10940,1,0,60170,0,43760,0
Other,Rear Collision,Y,Major Damage,Single Vehicle Collision,High School,exec-managerial,husband,MALE,unknown,100/300,unknown,Medium Risk,1,42,1,69500,-40700,16471.05,7.998823702,1,0.500367782,16,13600,250,1,3691,1055.6,500,1,6800,1,0,74800,0,54400,1
Police,unknown,N,Trivial Damage,Vehicle Theft,College,prof-specialty,wife,MALE,unknown,250/500,YES,Low Risk,0,41,2,25800,0,-35058.95,6.982968370,1,0.044650997,3,820,286,1,5241,999.43,1000,0,410,1,0,4100,0,2870,0
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,High School,prof-specialty,husband,MALE,unknown,250/500,YES,Low Risk,0,47,0,0,0,6791.05,3.999642250,1,0.282183912,5,5590,356,1,3471,1155.97,2000,1,11180,1,0,61490,0,44720,3
unknown,unknown,N,Trivial Damage,Vehicle Theft,High School,other-service,own-child,MALE,unknown,250/500,unknown,Low Risk,0,29,0,0,0,-32888.95,3.497571131,1,0.029761104,14,720,65,1,8938,1726.91,1000,0,1440,1,0,7200,0,5040,0
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,PhD,machine-op-inspct,not-in-family,FEMALE,unknown,500/1000,unknown,Low Risk,0,34,0,59500,0,-5128.95,7.998049256,1,0.240291074,7,8200,187,3,4349,1232.57,500,1,4100,1,0,45100,0,32800,0
Police,Front Collision,N,Minor Damage,Single Vehicle Collision,JD,craft-repair,not-in-family,MALE,YES,250/500,unknown,Low Risk,0,53,2,36800,0,10551.05,7.998680086,1,0.228480683,16,12120,386,1,2629,1078.65,500,1,6060,1,0,66660,0,48480,3
Police,Front Collision,Y,Major Damage,Single Vehicle Collision,PhD,prof-specialty,not-in-family,FEMALE,YES,500/1000,NO,High Risk,1,41,2,0,-64500,15551.05,6.999083890,1,0.705059760,6,15280,197,1,6771,1324.78,1000,1,7640,1,0,76400,0,53480,2
Ambulance,Rear Collision,N,Total Loss,Single Vehicle Collision,MD,craft-repair,not-in-family,FEMALE,NO,250/500,YES,Low Risk,0,37,1,0,0,-828.950000000,3.499669842,1,0.302265583,10,10600,166,1,7350,1518.54,500,1,10600,1,0,58300,0,37100,1
Police,Front Collision,N,Total Loss,Single Vehicle Collision,JD,transport-moving,husband,FEMALE,unknown,100/300,unknown,Low Risk,0,49,1,34900,0,3751.05,3.999616160,1,0.264125857,19,5210,293,1,6976,1239.06,2000,1,10420,1,0,57310,0,41680,1
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,PhD,priv-house-serv,own-child,FEMALE,unknown,500/1000,unknown,Low Risk,0,32,0,0,0,3371.05,6.998813760,1,0.225635764,10,5900,179,1,6618,1246.68,2000,1,5900,1,0,53100,0,41300,1
Ambulance,Side Collision,N,Total Loss,Multi-vehicle Collision,MD,priv-house-serv,husband,FEMALE,unknown,250/500,NO,Low Risk,0,24,1,0,0,14361.05,6.999063044,1,0.220000863,6,14940,76,3,1353,1622.67,1000,1,7470,1,0,74700,0,52290,1
Fire,Rear Collision,N,Major Damage,Multi-vehicle Collision,Associate,prof-specialty,own-child,FEMALE,NO,250/500,NO,Medium Risk,0,28,2,0,0,4421.05,6.998843166,1,0.505369889,12,12100,105,3,6982,1082.36,500,1,6050,1,0,60500,0,42350,2
Other,Side Collision,Y,Total Loss,Multi-vehicle Collision,Masters,protective-serv,unmarried,MALE,NO,250/500,YES,High Risk,1,26,2,0,-72100,23831.05,3.999740949,1,0.714487645,10,7720,97,3,6293,1270.55,1000,1,15440,1,0,84920,0,61760,3
Police,Side Collision,N,Total Loss,Single Vehicle Collision,MD,adm-clerical,own-child,FEMALE,NO,500/1000,NO,Low Risk,0,36,2,55100,0,6471.05,3.999639672,1,0.226532336,0,5550,148,1,6946,1236.32,1000,1,11100,1,0,61050,5000000,44400,0
Police,Rear Collision,Y,Major Damage,Multi-vehicle Collision,JD,exec-managerial,other-relative,MALE,unknown,250/500,YES,High Risk,1,26,2,49700,0,12311.05,7.998726317,1,0.770781883,12,12560,77,3,2434,785.82,2000,1,6280,1,0,69080,0,50240,0
unknown,unknown,N,Minor Damage,Vehicle Theft,JD,prof-specialty,own-child,FEMALE,YES,250/500,YES,Low Risk,0,46,1,52200,-44500,-34508.95,8.976377953,1,0.060595861,10,760,295,1,1868,1265.84,500,0,380,1,0,4560,0,3420,3
Police,Rear Collision,N,Total Loss,Multi-vehicle Collision,JD,machine-op-inspct,other-relative,FEMALE,unknown,250/500,NO,Low Risk,0,28,0,0,0,7271.05,3.999646049,1,0.307554675,3,11300,126,4,8397,1508.9,500,1,11300,1,0,67800,0,45200,1
Police,unknown,N,Minor Damage,Vehicle Theft,PhD,other-service,wife,MALE,YES,250/500,YES,Low Risk,0,32,1,43100,-31900,-34008.95,6.987522282,1,0.048905995,21,1120,132,1,6262,1106.84,2000,0,560,1,0,5600,0,3920,1
unknown,unknown,N,Minor Damage,Vehicle Theft,JD,other-service,wife,MALE,unknown,500/1000,unknown,Low Risk,0,55,0,0,-53200,-31628.95,3.498056635,1,0.056587484,6,900,370,1,787,1389.13,2000,0,1800,1,0,9000,7000000,6300,2
Police,Rear Collision,N,Total Loss,Single Vehicle Collision,JD,transport-moving,other-relative,FEMALE,YES,100/300,NO,Low Risk,0,43,0,52100,0,18951.05,7.998874982,1,0.192520363,0,21330,257,1,8318,974.84,1000,0,7110,1,0,85320,0,56880,1
unknown,unknown,Y,Trivial Damage,Vehicle Theft,PhD,machine-op-inspct,other-relative,FEMALE,YES,100/300,NO,Medium Risk,1,24,0,51700,-33300,-33608.95,3.996299722,1,0.643137277,6,540,9,1,4634,1304.46,2000,1,1080,1,0,5940,0,4320,3
Fire,Side Collision,Y,Major Damage,Multi-vehicle Collision,PhD,armed-forces,husband,FEMALE,unknown,250/500,YES,Medium Risk,1,34,1,0,0,-568.950000000,7.998287305,1,0.692902565,20,9340,185,3,1773,1257.36,500,1,4670,1,0,51370,0,37360,1
Police,Rear Collision,N,Major Damage,Single Vehicle Collision,Associate,protective-serv,own-child,MALE,YES,250/500,NO,Low Risk,0,43,2,0,-48800,-1808.95,6.998643674,1,0.352893943,4,10320,234,1,9106,1257.04,500,1,5160,1,0,51600,0,36120,2
unknown,unknown,N,Trivial Damage,Parked Car,High School,farming-fishing,own-child,FEMALE,unknown,100/300,NO,Low Risk,0,44,0,45800,0,-33728.95,6.988352745,1,0.080255891,9,600,253,1,2834,719.52,2000,0,600,1,0,5400,0,4200,3
Fire,Rear Collision,N,Minor Damage,Multi-vehicle Collision,JD,craft-repair,unmarried,MALE,YES,500/1000,unknown,Low Risk,0,39,1,0,0,81.050000000,6.998711103,1,0.184262796,20,5430,233,3,5119,1524.18,2000,0,5430,1,0,48870,0,38010,0
Police,unknown,N,Minor Damage,Vehicle Theft,JD,tech-support,husband,FEMALE,unknown,500/1000,NO,Low Risk,0,44,2,0,0,-34058.95,4.494773519,1,0.109070793,7,860,274,1,3101,1395.58,500,0,860,1,0,5590,0,3870,1
Other,Front Collision,Y,Major Damage,Multi-vehicle Collision,Masters,protective-serv,wife,MALE,unknown,500/1000,unknown,Medium Risk,1,48,0,0,-71400,10161.05,48090,1,0.658824990,18,6870,297,3,207,1243.68,1000,1,0,1,0,54960,0,48090,2
Police,Side Collision,N,Minor Damage,Multi-vehicle Collision,Associate,prof-specialty,own-child,FEMALE,unknown,500/1000,NO,Low Risk,0,47,1,59600,0,-10068.95,6.998241648,1,0.068315657,0,7960,273,3,1215,1189.04,1000,0,3980,1,0,39800,0,27860,3
Ambulance,Side Collision,Y,Major Damage,Multi-vehicle Collision,Masters,armed-forces,own-child,FEMALE,unknown,500/1000,unknown,High Risk,1,37,0,0,0,5751.05,6.998878385,1,0.715713140,11,6240,147,3,651,1375.29,2000,1,6240,1,0,56160,0,43680,1
Fire,Side Collision,N,Total Loss,Single Vehicle Collision,Associate,priv-house-serv,not-in-family,MALE,unknown,100/300,NO,Low Risk,0,42,0,63100,-79400,-1038.95,3.499667963,1,0.132717993,13,5270,285,1,8710,1389.13,500,0,10540,1,0,52700,0,36890,3
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,Associate,sales,not-in-family,FEMALE,unknown,500/1000,YES,Low Risk,0,43,1,0,0,15411.05,6.999081485,1,0.254392922,19,7620,289,3,4404,1387.51,1000,1,7620,1,0,68580,0,53340,3
Ambulance,Side Collision,Y,Major Damage,Single Vehicle Collision,MD,craft-repair,own-child,MALE,YES,100/300,YES,High Risk,1,60,1,0,-54400,20481.05,2.999845925,1,0.721506794,23,12980,427,1,3366,1178.61,1000,1,19470,1,0,90860,7000000,58410,2
Police,unknown,N,Trivial Damage,Parked Car,Associate,priv-house-serv,wife,MALE,NO,250/500,NO,Low Risk,0,53,0,0,0,-33368.95,7.985989492,1,0.076427598,23,570,380,1,1371,1166.62,2000,0,570,1,0,5700,6000000,4560,3
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,Associate,prof-specialty,not-in-family,MALE,YES,100/300,YES,Low Risk,0,21,2,0,-75000,39741.05,8.998957247,1,0.158196587,19,8630,13,3,3015,1556.31,1000,0,8630,1,0,94930,0,77670,0
Ambulance,Side Collision,Y,Major Damage,Single Vehicle Collision,MD,farming-fishing,not-in-family,MALE,NO,250/500,NO,Medium Risk,1,43,1,75800,0,-5168.95,3.499626108,1,0.421571499,19,4680,282,1,3095,1452.27,500,1,9360,1,0,46800,0,32760,2
Fire,Side Collision,N,Total Loss,Multi-vehicle Collision,MD,exec-managerial,wife,FEMALE,NO,500/1000,NO,Low Risk,0,47,2,66900,-51800,4311.05,5.999147848,1,0.270603542,17,7040,312,3,4649,1212.07,1000,1,7040,1,0,56320,0,42240,3
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,Associate,handlers-cleaners,husband,MALE,YES,100/300,NO,Low Risk,0,46,1,0,-41400,22791.05,3.999736513,1,0.282040998,18,7590,266,1,2169,1578.54,2000,1,15180,1,0,83490,0,60720,3
Police,Side Collision,N,Total Loss,Multi-vehicle Collision,College,machine-op-inspct,wife,FEMALE,unknown,500/1000,NO,Low Risk,0,36,2,0,-63500,8391.05,7.998618546,1,0.235347312,17,5790,30,3,5038,1488.26,500,1,5790,1,0,57900,0,46320,2
Fire,Rear Collision,N,Total Loss,Multi-vehicle Collision,High School,armed-forces,own-child,MALE,YES,250/500,unknown,Low Risk,0,36,1,0,0,501.050000000,6.998725187,1,0.179294311,11,5490,198,3,5092,1096.39,1000,0,5490,1,0,49410,0,38430,3
Fire,Side Collision,N,Minor Damage,Multi-vehicle Collision,Associate,tech-support,own-child,MALE,NO,500/1000,unknown,Low Risk,0,45,0,54400,0,15031.05,7.998791723,1,0.162396314,22,6620,290,3,7744,1215.36,2000,0,6620,1,0,66200,0,52960,1
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,MD,priv-house-serv,husband,MALE,NO,100/300,NO,Low Risk,0,46,0,35000,0,4791.05,3.999625503,1,0.167008992,7,10680,260,1,9133,1482.57,2000,0,10680,1,0,64080,0,42720,1
Other,Side Collision,N,Minor Damage,Multi-vehicle Collision,College,tech-support,other-relative,FEMALE,YES,250/500,unknown,Low Risk,0,43,2,0,0,-8178.95,6.998353329,1,0.164606787,17,8500,233,3,5385,954.18,1000,0,4250,1,0,42500,0,29750,3
Other,Side Collision,N,Total Loss,Multi-vehicle Collision,PhD,exec-managerial,own-child,MALE,unknown,500/1000,NO,Low Risk,0,30,2,0,-40800,-2328.95,7.998202651,1,0.308585066,16,8900,130,3,890,1193.4,2000,1,4450,1,0,48950,0,35600,3
Other,Rear Collision,N,Minor Damage,Multi-vehicle Collision,MD,adm-clerical,own-child,FEMALE,YES,100/300,NO,Low Risk,0,42,1,0,-45300,-478.950000000,3.499672928,1,0.170509204,13,10700,230,3,3734,1023.11,1000,0,10700,1,0,58850,0,37450,2
Other,Side Collision,N,Minor Damage,Multi-vehicle Collision,Masters,other-service,husband,FEMALE,YES,500/1000,YES,Low Risk,0,40,0,73200,0,27991.05,7.999029244,1,0.265604122,17,8240,212,3,4402,1524.45,1000,1,8240,1,0,82400,0,65920,2
Ambulance,Rear Collision,N,Minor Damage,Single Vehicle Collision,College,other-service,other-relative,FEMALE,unknown,500/1000,YES,Low Risk,0,44,2,0,-48800,2751.05,5.999115175,1,0.311896867,3,6780,299,1,2270,1653.32,1000,1,6780,1,0,54240,0,40680,0
Other,Front Collision,N,Minor Damage,Multi-vehicle Collision,Associate,armed-forces,other-relative,FEMALE,unknown,250/500,unknown,Low Risk,0,26,0,52700,0,21431.05,7.998921978,1,0.272471071,15,7420,91,3,5606,1022.46,1000,1,7420,1,0,74200,0,59360,2
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,Associate,priv-house-serv,unmarried,FEMALE,unknown,100/300,YES,Low Risk,0,53,2,21500,0,-1038.95,6.998671979,1,0.204819456,16,5270,398,1,8806,1396.43,2000,1,5270,1,0,47430,0,36890,1
Fire,Rear Collision,Y,Major Damage,Single Vehicle Collision,Associate,priv-house-serv,other-relative,FEMALE,YES,250/500,unknown,High Risk,1,43,1,61100,-64500,9811.05,6.998973758,1,0.720427969,18,13640,218,1,6897,1521.55,500,1,6820,1,0,68200,0,47740,3
Fire,Front Collision,N,Minor Damage,Single Vehicle Collision,JD,armed-forces,husband,FEMALE,NO,100/300,NO,Low Risk,0,33,1,0,0,11771.05,6.999014223,1,0.185216362,18,7100,152,1,4989,1034.27,1000,0,7100,1,0,63900,0,49700,0
Ambulance,Rear Collision,N,Total Loss,Multi-vehicle Collision,JD,protective-serv,not-in-family,FEMALE,YES,100/300,NO,Low Risk,0,39,0,60300,-58900,3581.05,6.998819761,1,0.234418294,22,11860,212,2,1795,1255.35,1000,1,5930,1,0,59300,0,41510,3
Other,Front Collision,Y,Minor Damage,Multi-vehicle Collision,College,priv-house-serv,other-relative,FEMALE,YES,500/1000,NO,Medium Risk,1,44,1,0,-61600,8901.05,3.499738435,1,0.554413438,15,6690,242,3,4207,1396.89,2000,1,13380,1,0,66900,6000000,46830,2
Police,Rear Collision,Y,Major Damage,Multi-vehicle Collision,JD,farming-fishing,husband,MALE,unknown,500/1000,YES,High Risk,1,27,1,0,-51000,-8248.95,3.999460989,1,0.735298608,16,3710,80,3,148,795.31,500,1,7420,1,0,40810,0,29680,3
Fire,Front Collision,N,Total Loss,Single Vehicle Collision,JD,exec-managerial,not-in-family,FEMALE,unknown,100/300,unknown,Low Risk,0,43,1,54500,-72100,14851.05,6.999071741,1,0.174873458,18,15080,260,1,2080,982.22,500,0,7540,1,0,75400,0,52780,0
unknown,unknown,N,Minor Damage,Parked Car,JD,prof-specialty,husband,FEMALE,YES,500/1000,NO,Low Risk,0,34,2,70900,-61100,-34988.95,3.495838288,1,0.031593893,8,420,133,1,7414,1074.07,500,0,840,1,0,4200,0,2940,0
Ambulance,Side Collision,Y,Major Damage,Multi-vehicle Collision,Associate,machine-op-inspct,wife,FEMALE,YES,100/300,YES,High Risk,1,45,0,38500,0,3021.05,6.998803623,1,0.724137150,23,5850,290,3,8577,1311.3,1000,1,5850,1,0,52650,0,40950,0
Ambulance,Rear Collision,N,Major Damage,Single Vehicle Collision,PhD,armed-forces,own-child,FEMALE,YES,250/500,unknown,Low Risk,0,49,0,0,-46000,-11048.95,3.499544330,1,0.257054502,18,7680,322,1,4865,1277.12,2000,1,7680,1,0,42240,0,26880,2
Other,Side Collision,N,Minor Damage,Single Vehicle Collision,JD,sales,husband,FEMALE,YES,500/1000,YES,Low Risk,0,39,1,35200,0,8341.05,6.998941159,1,0.241659441,10,6610,228,1,852,1388.62,500,1,6610,1,0,59490,0,46270,0
Ambulance,Side Collision,Y,Major Damage,Single Vehicle Collision,MD,tech-support,unmarried,MALE,NO,100/300,NO,High Risk,1,37,0,0,0,-2568.95,7.998190455,1,0.700454795,12,4420,195,1,8602,1406.52,1000,1,4420,1,0,44200,8000000,35360,2
Police,unknown,N,Trivial Damage,Vehicle Theft,Masters,protective-serv,unmarried,FEMALE,unknown,100/300,YES,Low Risk,0,39,1,0,-49300,-32538.95,3.497728748,1,0.036267607,5,770,247,1,8511,1558.29,500,0,1540,1,0,7700,0,5390,2
Other,Front Collision,N,Total Loss,Multi-vehicle Collision,MD,priv-house-serv,other-relative,MALE,unknown,500/1000,unknown,Low Risk,0,57,2,46300,0,3031.05,3.999609413,1,0.262357951,21,10240,405,3,5490,1132.47,1000,1,10240,1,0,61440,4000000,40960,3
Fire,Rear Collision,Y,Major Damage,Multi-vehicle Collision,PhD,handlers-cleaners,not-in-family,FEMALE,NO,250/500,YES,Medium Risk,1,37,1,73700,0,151.050000000,3.499678338,1,0.478245223,17,5440,144,3,835,1896.91,2000,1,10880,1,0,54400,0,38080,3
